genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000004026	1.12005060386855	7.25062592250245	214.502562854968	3.61456592896421e-08	1.57695479111977e-05
ENSGMOG00000003907	1.01832168791251	7.09064778791494	202.521788714805	4.7820897860886e-08	2.02993249135966e-05
ENSGMOG00000001974	2.07501751705538	4.05586008372237	194.362980479881	5.8398623587403e-08	2.4137073212204e-05
ENSGMOG00000002109	0.949447678084074	7.71195075137592	190.3470334011	6.46257454092729e-08	2.60259476255908e-05
ENSGMOG00000011457	1.20001645763475	5.50853051108623	186.295504175963	7.17306476262591e-08	2.81650387904506e-05
ENSGMOG00000017408	1.05820692392272	6.90043737660094	174.771983282788	9.76943479563128e-08	3.66076367543292e-05
ENSGMOG00000014601	1.2910476315381	5.53962781223021	174.458838829229	9.85442910759609e-08	3.66076367543292e-05
ENSGMOG00000006506	0.963426459779923	5.25084085253746	173.849148195258	1.00224651753225e-07	3.66076367543292e-05
ENSGMOG00000000357	1.05862598295323	4.90558427082741	161.485121172141	1.43023952621366e-07	5.10530499970722e-05
ENSGMOG00000014084	1.18492848710421	6.48970880992179	152.419726902119	1.88764993592719e-07	6.58831775414943e-05
ENSGMOG00000014949	1.04383093669028	3.39729949781038	150.590933352401	2.00009538290077e-07	6.63433198070958e-05
ENSGMOG00000018132	0.841494860857671	5.73206679450342	149.65339658421	2.06084343785234e-07	6.63433198070958e-05
ENSGMOG00000008895	1.07380840486615	4.5211923208549	149.647123217878	2.0612573001722e-07	6.63433198070958e-05
ENSGMOG00000010925	1.20654684610787	5.85476218940265	149.518017780941	2.0697966831451e-07	6.63433198070958e-05
ENSGMOG00000007404	3.21380932872642	1.13026773994919	146.538952158867	2.27912647065381e-07	7.15919206961774e-05
ENSGMOG00000001260	1.0734132223276	4.24944493993027	141.819121738539	2.66516806988642e-07	8.20767249130119e-05
ENSGMOG00000019166	1.02920495133306	6.25623005179163	135.745512506394	3.28372096088055e-07	9.9181002714596e-05
ENSGMOG00000014739	1.25494080890078	7.52924019968247	133.836864367195	3.51266110926886e-07	0.000104094066758824
ENSGMOG00000015944	0.769824673287987	7.22223450262835	129.568768957086	4.09758402196594e-07	0.000119178990090735
ENSGMOG00000007466	0.89716651241354	5.97321995496371	128.63953674611	4.23997919174277e-07	0.000121078387610022
ENSGMOG00000015140	1.16045371216336	3.03394768121629	125.190929882289	4.82293268512964e-07	0.000135266037058297
ENSGMOG00000007169	2.1813630378193	0.57228799527742	123.399869435	5.16341358303775e-07	0.000142274690763493
ENSGMOG00000001088	1.76984671819302	1.30375074398414	113.704966379708	7.59599164247272e-07	0.000205694215063235
ENSGMOG00000013791	1.71553289665413	3.92159943773753	111.594008634619	8.29542289447844e-07	0.000220667389791777
ENSGMOG00000008534	0.700969596988407	8.27586282542847	111.212475192104	8.4299270262999e-07	0.000220667389791777
ENSGMOG00000004592	1.12676017356854	4.33334372764407	106.00853194686	1.05529520749596e-06	0.000271712566048059
ENSGMOG00000020354	1.5962461186649	4.09289447801604	104.744071646206	1.11620021264498e-06	0.000282758718383904
ENSGMOG00000017303	0.898895580927209	8.31977160260088	103.135614860806	1.19986758243361e-06	0.000295100402895957
ENSGMOG00000015937	0.849002082152723	5.93321093712398	103.087249405386	1.20249750320522e-06	0.000295100402895957
ENSGMOG00000002386	0.702002361487532	7.07301214533947	102.261336483069	1.24849015760618e-06	0.000301673637159426
ENSGMOG00000009044	1.50204439213477	2.9386148818331	100.892292836522	1.32945508977425e-06	0.000316370024848401
ENSGMOG00000009599	1.24659579298328	6.35325404126269	97.9483759163642	1.52588335071608e-06	0.000357694386661893
ENSGMOG00000012564	0.736782405716379	5.18153939769248	97.1892336414444	1.58205241287903e-06	0.000365407576421737
ENSGMOG00000014170	0.718221323739581	8.37762912876136	92.3828468959428	2.00123348622766e-06	0.000455527146879588
ENSGMOG00000005514	0.760650241937097	5.98531247723085	90.1038327756268	2.24594648771033e-06	0.000497014554804192
ENSGMOG00000016567	-0.966240104717444	3.13304911374697	90.0965267116281	2.24678679428866e-06	0.000497014554804192
ENSGMOG00000007456	0.641973012810378	4.82160082284528	87.7892676672938	2.53205814449609e-06	0.000552340350242438
ENSGMOG00000013723	1.38637381454992	2.57678629327933	86.9646060830782	2.64440617955838e-06	0.000568945800769096
ENSGMOG00000011027	1.1306048067573	2.77537568569616	85.0360910536276	2.93129374311199e-06	0.000622147290936714
